id,original_question,supplement_query_1,supplement_query_2,supplement_query_3
88,"Người đi bộ băng qua đường sai quy định gây tai nạn thì bị xử lý thế nào?","Hành vi người đi bộ qua đường không đúng nơi quy định gây tai nạn giao thông","Mức phạt hành chính đối với người đi bộ vi phạm quy tắc giao thông đường bộ","Trách nhiệm bồi thường hoặc trách nhiệm hình sự của người đi bộ gây tai nạn"
89,"Xe máy va chạm nhẹ nhưng hai bên tự thỏa thuận thì có cần báo công an không?","Nghĩa vụ báo cơ quan công an khi xảy ra tai nạn giao thông đường bộ","Quy định xử lý tai nạn giao thông thiệt hại nhỏ và trường hợp các bên tự thỏa thuận bồi thường","Trách nhiệm giữ nguyên hiện trường và khai báo khi tai nạn có người bị thương hoặc thiệt hại tài sản"
90,"Gây tai nạn làm hư hỏng tài sản của người khác thì phải bồi thường thế nào?","Trách nhiệm bồi thường thiệt hại ngoài hợp đồng khi gây tai nạn giao thông làm hư hỏng tài sản","Căn cứ xác định mức bồi thường tài sản bị hư hỏng do tai nạn giao thông","Trách nhiệm hành chính hoặc hình sự nếu gây tai nạn làm thiệt hại tài sản vượt mức luật định"
91,"Tôi đi xe máy vượt đèn đỏ và không có bằng lái thì bị xử phạt những lỗi nào?","Tổng hợp lỗi xe máy không chấp hành đèn tín hiệu giao thông và không có giấy phép lái xe","Mức phạt riêng đối với xe máy vượt đèn đỏ và điều khiển xe không có giấy phép lái xe","Nguyên tắc xử phạt nhiều hành vi vi phạm giao thông trong cùng một lần kiểm tra"
92,"Tôi lái ô tô có nồng độ cồn và gây tai nạn thì bị tước bằng trong bao lâu?","Thời hạn tước giấy phép lái xe đối với ô tô vi phạm nồng độ cồn gây tai nạn giao thông","Mức phạt và hình phạt bổ sung khi tài xế ô tô có nồng độ cồn gây tai nạn","Trách nhiệm hình sự khi điều khiển ô tô sau khi uống rượu bia gây tai nạn"
93,"Xe máy của tôi không có gương, không mang đăng ký xe và chở ba người thì bị phạt thế nào?","Tổng hợp lỗi xe máy không có gương chiếu hậu không mang đăng ký xe và chở quá số người","Mức phạt riêng đối với xe máy thiếu gương không xuất trình đăng ký xe và chở ba người","Nguyên tắc cộng dồn mức phạt khi một người thực hiện nhiều hành vi vi phạm giao thông"
94,"Tôi chạy xe máy quá tốc độ và không đội mũ bảo hiểm thì có bị cộng dồn mức phạt không?","Tổng hợp lỗi xe máy chạy quá tốc độ và không đội mũ bảo hiểm khi tham gia giao thông","Mức phạt riêng đối với hành vi quá tốc độ và không đội mũ bảo hiểm của người điều khiển xe máy","Nguyên tắc xử phạt nhiều lỗi giao thông cùng lúc và áp dụng hình phạt bổ sung nếu có"
95,"Tôi cho bạn mượn xe nhưng bạn chưa đủ tuổi lái xe, nếu bị kiểm tra thì ai bị phạt?","Trách nhiệm của chủ xe giao xe cho người chưa đủ tuổi điều khiển phương tiện","Mức phạt đối với người chưa đủ tuổi lái xe và người giao xe trong cùng vụ việc","Quy định xử phạt hành vi để người không đủ điều kiện điều khiển xe tham gia giao thông"
96,"Tôi bị công an giao thông dừng xe thì cần xuất trình những giấy tờ gì?","Các loại giấy tờ người điều khiển phương tiện phải mang theo khi tham gia giao thông","Quy định xuất trình giấy phép lái xe đăng ký xe đăng kiểm bảo hiểm khi cảnh sát giao thông kiểm tra","Mức phạt đối với hành vi không có hoặc không mang theo giấy tờ xe khi bị kiểm tra"
97,"Tôi bị phạt lỗi đi sai làn, làm sao biết mức phạt áp dụng cho xe máy hay ô tô?","Hành vi đi không đúng làn đường phần đường quy định theo loại phương tiện","Mức phạt lỗi sai làn đường đối với xe máy khác với xe ô tô","Căn cứ xác định chủ thể phương tiện để áp dụng khung phạt sai làn đường"
98,"Tôi nhận biên bản xử phạt giao thông thì thời hạn nộp phạt là bao lâu?","Thời hạn chấp hành quyết định xử phạt vi phạm hành chính trong lĩnh vực giao thông","Quy định nộp tiền phạt sau khi nhận quyết định xử phạt giao thông đường bộ","Hậu quả pháp lý khi quá thời hạn nộp phạt vi phạm giao thông"
99,"Tôi bị giữ giấy phép lái xe thì có được tiếp tục lái xe không?","Quy định tạm giữ giấy phép lái xe trong xử lý vi phạm giao thông","Quyền điều khiển phương tiện trong thời gian giấy phép lái xe bị tạm giữ hoặc bị tước","Phân biệt tạm giữ giấy phép lái xe và tước quyền sử dụng giấy phép lái xe"
100,"Tôi muốn khiếu nại quyết định xử phạt giao thông thì cần làm gì?","Trình tự thủ tục khiếu nại quyết định xử phạt vi phạm hành chính trong lĩnh vực giao thông","Thời hạn khiếu nại quyết định xử phạt giao thông và cơ quan có thẩm quyền giải quyết","Quyền của người bị xử phạt khi không đồng ý với biên bản hoặc quyết định xử phạt giao thông"
